exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
154,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
155,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
156,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
158,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
159,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
160,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
161,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
162,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
163,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
164,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
165,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
166,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
167,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
168,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
169,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
170,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
171,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
172,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
173,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
174,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
175,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
176,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
177,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
178,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
179,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
180,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
181,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
182,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
183,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
184,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
185,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
186,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
187,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
188,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
189,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
190,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
191,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
192,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
193,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
194,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
195,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
196,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
197,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
198,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
199,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
200,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
201,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
202,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
203,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
204,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
205,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
206,494,0,0,0,5.92,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
207,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
208,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
209,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
210,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
211,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
212,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
213,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
214,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
215,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
216,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
217,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
218,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
219,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
220,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
221,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
222,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
223,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
224,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
225,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
226,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
227,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
228,504,0,0,0,4.54,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
