exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
229,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
230,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
231,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
232,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
233,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
234,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
235,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
236,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
237,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
238,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
239,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
240,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
241,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
242,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
243,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
244,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
245,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
246,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
247,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
248,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
249,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
250,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
251,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
252,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
253,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
